"Category","Item","Price (LE)"
"Main Course","Mix Grill","450"
"Main Course","Mini Mix Grill","350"
"Main Course","Mix Grill Special","500"
"Main Course","Grilled Chicken","300"
"Main Course","Grilled Kofta","270"
"Main Course","Chicken Panee","270"
"Grilled Meats","Mix of Lovers","2250"
"Grilled Meats","Mix The Mix","2000"
"Grilled Meats","Mix of Friends","1900"
"Grilled Meats","Mix Ramadan","2500"
"Grilled Meats","Family Mix","3500"
"Grilled Meats","Lama Mix","1600"
"Tagine","Pamia","90"
"Tagine","Mixed Vegetables","70"
"Tagine","Mulukhiyah","85"
"Tagine","Pasta Tagine","100"
"Appetizers","Warq Enab","100"
"Appetizers","Sambosk","100"
"Appetizers","Mombar","120"
"Appetizers","Mixed Appetizers","150"
"Side Dishes","Tahina Salad","50"
"Side Dishes","Green Salad","50"
"Side Dishes","Torshi","50"
"Side Dishes","Baba Ghanoush","60"
"Side Dishes","Soup","50"
"Side Dishes","White Rice","40"
"Kids","Chicken Panee (Kids)","250"
"Kids","Grilled Kofta (Kids)","250"
"Soft Drink","Water S","15"
"Soft Drink","Water L","20"
"Soft Drink","Soda","50"
"Soft Drink","Red Bull","100"
"Soft Drink","Mojito","70"
"Soft Drink","Pineapple Mojito","70"
"Soft Drink","Mojito Passion","70"
"Soft Drink","Strawberry Mojito","70"
"Soft Drink","Blueberry Mojito","70"
"Soft Drink","Mixberry Mojito","70"
"Fresh Juice","Mango","80"
"Fresh Juice","Orange","70"
"Fresh Juice","Guava","80"
"Fresh Juice","Strawberry","80"
"Fresh Juice","Lemon Mint","80"
"Fresh Juice","Banana with Milk","80"
"Hot Drink","Tea","35"
"Hot Drink","Green Tea","35"
"Hot Drink","Herbs","35"
"Hot Drink","Hot Chocolate","85"
"Hot Drink","Hot Cider","75"
"Hot Drink","Sahlab","90"
"Smoothies","Mango","90"
"Smoothies","Orange","80"
"Smoothies","Guava","90"
"Smoothies","Strawberry","90"
"Smoothies","Lemon Mint","90"
"Smoothies","Blueberry","95"
"Smoothies","Pina Colada","90"
"Smoothies","Mango Passion","110"
"Coffee","Single Espresso","65"
"Coffee","Double Espresso","85"
"Coffee","Micato Single","65"
"Coffee","Micato Double","85"
"Coffee","Americano","85"
"Coffee","Cortado","110"
"Coffee","Flat White","105"
"Coffee","Mocha","115"
"Coffee","Cappuccino","100"
"Coffee","Latte","100"
"Coffee","White Mocha","115"
"Coffee","Spanish Latte","115"
"Coffee","Single Turkish Coffee","50"
"Coffee","Double Turkish Coffee","75"
"Coffee","French Coffee","85"
"Coffee","Hazelnut Coffee","90"
"Ice Coffee","Ice American","90"
"Ice Coffee","Ice Latte","110"
"Ice Coffee","Ice Mocha","120"
"Ice Coffee","Ice White Mocha","125"
"Ice Coffee","Ice Spanish Latte","125"
"Ice Coffee","Caramel Frappe","130"
"Ice Coffee","Mocha Frappe","130"
"Ice Coffee","White Mocha Frappe","135"
"Ice Tea","Ice Tea Passion","80"
"Ice Tea","Ice Tea Peach","80"
"Ice Tea","Ice Tea Lemon","70"
"Milk Shake","Vanilla","90"
"Milk Shake","Chocolate","90"
"Milk Shake","Strawberry","100"
"Milk Shake","Mango","110"
"Milk Shake","Peach","100"
"Milk Shake","Passion","100"
"Milk Shake","Blueberry","100"
"Milk Shake","Pina Colada","110"
"Milk Shake","Oreo","100"
"Dessert","Molten Cake","120"
"Dessert","Cheesecake","110"
"Dessert","Umm Ali","85"
"Dessert","2 Scoops Ice Cream","85"
"Dessert","Fruit Plate","120"
"Dessert","Fruit Salad","95"
"Dessert","Mango Nutella Kunafa","90"
"Dessert","Helw Sharqi","150"
"Extra","Milk","25"
"Extra","Nuts","40"
"Extra","Topping","30"
"Extra","Ice Cream","35"
"Extra","Fruits","50"
"Shisha","Masel","35"
"Shisha","Special","135"
"Shisha","Lai","25"
